plasmid_id	ptu	taxon_oid	scaffold_oid	source_type	ecosystem	length	gene_count	genomad_score	putatively_complete	topology	mob_genes	t4cp_genes	t4ss_atpase_genes	other_conjugation_genes	complete_mpf_family	origin_of_transfer	arg_genes	putative_phage_plasmid	host_prediction_method	host_taxonomy	closest_reference	closest_reference_ani_percent	closest_reference_af_percent
IMGPR_plasmid_3300013245_000003	PTU_00000280	3300013245	Ga0118091_100030	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	21158	22	0.9838	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.9	100.0
IMGPR_plasmid_3300012589_000003	PTU_00000280	3300012589	Ga0118135_100036	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	19659	23	0.9838	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.43	100.0
IMGPR_plasmid_2576861738_000001	PTU_00000280	2576861738	2576918142	Isolate		6824	8	0.9838	No	Linear			virb4					No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.64	100.0
IMGPR_plasmid_3300013201_000001	PTU_00000280	3300013201	Ga0118078_100021	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	12044	16	0.9837	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.16	100.0
IMGPR_plasmid_3300012457_000003	PTU_00000280	3300012457	Ga0118458_100059	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	15277	17	0.9836	No	Linear			virb4	T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.2	100.0
IMGPR_plasmid_3300007270_000014	PTU_00000280	3300007270	Ga0104841_100094	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	32495	37	0.9835	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NC_021086.1	95.83	98.14
IMGPR_plasmid_3300012302_000002	PTU_00000280	3300012302	Ga0118048_100017	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	29489	30	0.9835	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	96.14	89.42
IMGPR_plasmid_3300013909_000001	PTU_00000280	3300013909	Ga0117851_10032	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	23220	23	0.9834	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.01	98.14
IMGPR_plasmid_3300013677_000002	PTU_00000280	3300013677	Ga0118529_100038	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	14014	16	0.9834	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.65	100.0
IMGPR_plasmid_3300026096_000027	PTU_00000280	3300026096	Ga0208184_100132	Metagenome	Environmental;Aquatic;Marine;Oceanic	24382	26	0.9832	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.32	95.66
IMGPR_plasmid_3300007922_000004	PTU_00000280	3300007922	Ga0111563_100004	Metagenome	Host-associated;Mammals: Human;Respiratory system;Nasal cavity;Anterior nares	14507	17	0.9832	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	96.74	100.0
IMGPR_plasmid_3300013397_000001	PTU_00000280	3300013397	Ga0117984_10032	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	7352	8	0.9832	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.28	99.46
IMGPR_plasmid_3300009791_000067	PTU_00000280	3300009791	Ga0105235_101118	Metagenome	Environmental;Aquatic;Marine;Oceanic	7072	9	0.9832	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	NC_021086.1	96.97	100.0
IMGPR_plasmid_3300012319_000001	PTU_00000280	3300012319	Ga0118221_100053	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	12724	16	0.9831	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.18	99.86
IMGPR_plasmid_2537561581_000002	PTU_00020681	2537561581	2537570923	Isolate		4617	6	0.9831	Yes	Direct terminal repeat								No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.42	100.0
IMGPR_plasmid_2917719114_000001	PTU_00000825	2917719114	2917719123	Isolate		81624	101	0.9830	No	Linear		tcpA	virb4	FA_orf14;T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium humerusii	NZ_CP017041.1	99.87	93.37
IMGPR_plasmid_3300012328_000004	PTU_00006047	3300012328	Ga0118049_100026	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	17682	19	0.9830	No	Linear			virb4	T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.81	100.0
IMGPR_plasmid_3300013189_000003	PTU_00006047	3300013189	Ga0118500_100258	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	11838	16	0.9830	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.83	100.0
IMGPR_plasmid_3300013153_000003	PTU_00000280	3300013153	Ga0118459_100322	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	4023	3	0.9828	No	Linear			virb4					No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.17	100.0
IMGPR_plasmid_3300007866_000009	PTU_00000280	3300007866	Ga0111018_100095	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	10646	14	0.9827	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.1	99.29
IMGPR_plasmid_3300012222_000002	PTU_00006047	3300012222	Ga0118543_100004	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	33222	39	0.9826	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	95.5	99.31
IMGPR_plasmid_3300013201_000002	PTU_00000280	3300013201	Ga0118078_100024	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	6235	4	0.9826	No	Linear			virb4	FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.2	100.0
IMGPR_plasmid_3300012542_000003	PTU_00000280	3300012542	Ga0118276_100131	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	7473	7	0.9826	No	Linear			virb4	FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.99	100.0
IMGPR_plasmid_3300012535_000002	PTU_00006047	3300012535	Ga0118528_10036	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	26775	30	0.9825	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.42	95.26
IMGPR_plasmid_3300009613_000033	PTU_00000280	3300009613	Ga0105228_100444	Metagenome	Environmental;Aquatic;Marine;Oceanic	6860	7	0.9825	No	Linear			virb4	FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.85	100.0
IMGPR_plasmid_3300013442_000002	PTU_00000280	3300013442	Ga0118452_10045	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	23877	25	0.9824	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.09	96.0
IMGPR_plasmid_3300012297_000002	PTU_00000280	3300012297	Ga0118043_10037	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	11634	16	0.9824	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.28	100.0
IMGPR_plasmid_3300012606_000003	PTU_00000280	3300012606	Ga0118220_100175	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	5375	9	0.9824	No	Linear				T_virB11				No			NC_021086.1	98.71	99.94
IMGPR_plasmid_3300026134_000046	PTU_00000280	3300026134	Ga0208815_1000174	Metagenome	Environmental;Aquatic;Marine;Oceanic	20790	26	0.9822	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	96.46	93.95
IMGPR_plasmid_3300013915_000001	PTU_00000280	3300013915	Ga0118540_100029	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	28667	36	0.9821	No	Linear		tcpA	virb4	FA_orf14;T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NZ_CP012356.1	97.46	100.0
IMGPR_plasmid_3300005264_000012	PTU_00000280	3300005264	Ga0073581_110725	Metagenome	Environmental;Aquatic;Marine;Oceanic;Sediment	15318	17	0.9821	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.48	100.0
IMGPR_plasmid_3300012216_000001	PTU_00000280	3300012216	Ga0118222_10095	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	4155	6	0.9821	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.61	99.61
IMGPR_plasmid_2718217930_000001	PTU_00000825	2718217930	2718228246	Isolate		77702	93	0.9820	Yes	Linear		tcpA	virb4	FA_orf14;T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium humerusii	NZ_CP017041.1	99.97	100.0
IMGPR_plasmid_3300012428_000003	PTU_00000280	3300012428	Ga0118120_10027	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	28265	33	0.9818	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.55	95.55
IMGPR_plasmid_2537561597_000002	PTU_00020681	2537561597	2537573703	Isolate		4613	6	0.9818	Yes	Direct terminal repeat								No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.42	100.0
IMGPR_plasmid_3300007922_000006	PTU_00000280	3300007922	Ga0111563_100056	Metagenome	Host-associated;Mammals: Human;Respiratory system;Nasal cavity;Anterior nares	8255	8	0.9818	No	Linear			virb4	FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NC_021086.1	99.83	99.88
IMGPR_plasmid_2531839222_000001	PTU_00020681	2531839222	2531877029	Isolate		34607	45	0.9817	No	Linear		tcpA	virb4	FA_orf14;T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.21	79.89
IMGPR_plasmid_3300013579_000002	PTU_00000280	3300013579	Ga0117855_10038	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	19764	23	0.9817	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.62	99.14
IMGPR_plasmid_3300012432_000001	PTU_00000280	3300012432	Ga0118539_100036	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	23323	28	0.9817	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.05	100.0
IMGPR_plasmid_3300013583_000001	PTU_00000280	3300013583	Ga0118492_10022	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	28586	33	0.9816	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.43	100.0
IMGPR_plasmid_3300034069_001080	PTU_00000280	3300034069	Ga0370205_055234	Metagenome	Host-associated;Plants;Phyllosphere;Carposphere	4353	6	0.9816	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.77	100.0
IMGPR_plasmid_3300009997_000130	PTU_00000280	3300009997	Ga0131935_18531	Metagenome	Engineered;Built environment;House	18882	19	0.9815	No	Linear			virb4	T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.61	99.36
IMGPR_plasmid_3300012567_000003	PTU_00006047	3300012567	Ga0118487_100017	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	25419	28	0.9815	No	Linear		tcpA	virb4	FA_orf14;T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	96.83	87.75
IMGPR_plasmid_3300013435_000002	PTU_00006047	3300013435	Ga0118454_100059	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	15984	18	0.9813	No	Linear			virb4	T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.44	100.0
IMGPR_plasmid_2788500575_000001	PTU_00006047	2788500575	2788577821	Metagenome-assembled genome		24925	27	0.9813	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.12	99.88
IMGPR_plasmid_3300013405_000002	PTU_00006047	3300013405	Ga0117965_10088	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	9670	14	0.9810	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	93.39	89.98
IMGPR_plasmid_3300008657_000005	PTU_00006047	3300008657	Ga0111472_100035	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	27530	30	0.9809	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.91	98.43
IMGPR_plasmid_2537561585_000001	PTU_00000280	2537561585	2537571101	Isolate		23541	28	0.9808	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.91	99.48
IMGPR_plasmid_7000000066_000001	PTU_00000280	7000000066	C48981	Metagenome	Host-associated;Mammals: Human;Respiratory system;Nasal cavity;Anterior nares	5394	9	0.9808	No	Linear				T_virB11				No			NC_021086.1	95.95	100.0
IMGPR_plasmid_3300012604_000004	PTU_00000280	3300012604	Ga0118227_100067	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	17104	18	0.9807	No	Linear			virb4	T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.92	97.42
IMGPR_plasmid_3300013141_000001	PTU_00000280	3300013141	Ga0118542_10115	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	9530	9	0.9807	No	Linear			virb4					No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.29	100.0
IMGPR_plasmid_3300026104_000001	PTU_00000280	3300026104	Ga0208452_1000175	Metagenome	Environmental;Aquatic;Marine;Oceanic	6960	9	0.9807	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.68	100.0
IMGPR_plasmid_3300013221_000003	PTU_00000280	3300013221	Ga0118505_100009	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	15228	18	0.9806	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.81	100.0
IMGPR_plasmid_3300012433_000004	PTU_00000280	3300012433	Ga0118126_100040	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	9962	9	0.9806	No	Linear			virb4	FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.43	100.0
IMGPR_plasmid_3300012635_000001	PTU_00000280	3300012635	Ga0118103_100034	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	25103	28	0.9805	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	96.25	97.77
IMGPR_plasmid_3300009758_000002	PTU_00000280	3300009758	Ga0105211_1000080	Metagenome	Environmental;Aquatic;Marine;Oceanic	11367	13	0.9805	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.96	100.0
IMGPR_plasmid_3300007131_000024	PTU_00000280	3300007131	Ga0102586_11074	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	6110	7	0.9805	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.84	100.0
IMGPR_plasmid_2531839422_000003	PTU_00127495	2531839422	2531896578	Isolate		26040	36	0.9804	No	Linear		tcpA	virb4	FA_orf14;T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium humerusii	NZ_CP017041.1	99.88	100.0
IMGPR_plasmid_3300006288_000008	PTU_00127495	3300006288	Ga0099612_100377	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	7940	8	0.9804	No	Linear			virb4					No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.71	100.0
IMGPR_plasmid_2531839621_000001	PTU_00007646	2531839621	2531924031	Isolate		41775	53	0.9803	No	Linear		tcpA	virb4	FA_orf14				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium humerusii	NZ_CP017041.1	99.15	89.64
IMGPR_plasmid_3300013625_000003	PTU_00000280	3300013625	Ga0117852_10039	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	19607	23	0.9803	No	Linear			virb4	FA_orf14;T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.42	100.0
IMGPR_plasmid_3300008668_000005	PTU_00006047	3300008668	Ga0111494_100052	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	45616	52	0.9802	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NC_021086.1	95.27	85.63
IMGPR_plasmid_3300006215_000012	PTU_00000280	3300006215	Ga0099397_10066	Metagenome	Host-associated;Mammals: Human;Respiratory system;Nasal cavity;Anterior nares	28199	31	0.9802	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NC_021086.1	96.45	91.26
IMGPR_plasmid_3300027925_000046	PTU_00000280	3300027925	Ga0272400_10000352	Metagenome	Environmental;Terrestrial;Deep subsurface;Rock	22446	27	0.9802	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.93	100.0
IMGPR_plasmid_3300013332_000002	PTU_00022443	3300013332	Ga0118127_100025	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	34610	44	0.9801	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	96.26	98.13
IMGPR_plasmid_3300013323_000002	PTU_00000280	3300013323	Ga0118132_10027	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	32592	38	0.9800	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	95.47	99.32
IMGPR_plasmid_3300012444_000002	PTU_00000280	3300012444	Ga0118461_100039	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	23604	24	0.9800	No	Linear			virb4	T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.44	90.67
IMGPR_plasmid_3300007878_000007	PTU_00319291	3300007878	Ga0114370_10169	Metagenome	Host-associated;Mammals: Human;Respiratory system;Nasal cavity;Anterior nares	13054	17	0.9800	No	Linear		tcpA		FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NZ_CP012356.1	92.82	75.71
IMGPR_plasmid_3300007307_000010	PTU_00006047	3300007307	Ga0104924_10088	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	45372	56	0.9799	No	Linear		tcpA	virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NC_021086.1	95.17	85.22
