UVIG	Taxon_oid	Scaffold_oid	Coordinates ('whole' if the UViG is the entire contig)	Ecosystem classification	vOTU	Length	Topology	geNomad score	Confidence	Estimated completeness	Estimated contamination	MIUViG quality	Gene content (total genes;cds;tRNA;geNomad marker)	Taxonomic classification	Taxonomic classification method	Host taxonomy prediction	Host prediction method	Sequence origin (doi)
IMGVR_UViG_3300022076_000015	3300022076	Ga0232669_10000151	whole	Environmental;Terrestrial;Deep subsurface;Rock	vOTU_03826907	29523	Direct terminal repeat	0.9779	High-confidence	100	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300027926_000017	3300027926	Ga0272454_10000152	whole	Environmental;Terrestrial;Deep subsurface;Rock	vOTU_03826907	29523	Direct terminal repeat	0.9779	High-confidence	100	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698934_000001	2595698934	2595727916	whole	;;;	vOTU_08673403	29506	Linear	0.9779	High-confidence	100	0	Reference	47;47;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300022075_000014	3300022075	Ga0232668_10000236	whole	Environmental;Terrestrial;Deep subsurface;Rock	vOTU_03826907	29472	Linear	0.9778	High-confidence	100	0	High-quality	44;44;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698927_000001	2595698927	2595727909	whole	;;;	vOTU_08673405	29516	Linear	0.9778	High-confidence	100	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300008325_000001	3300008325	Ga0115307_100116	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_01628694	30360	Linear	0.9777	High-confidence	100	0	High-quality	46;46;0;42	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300001506_000003	3300001506	M534_100005	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_00856481	29195	Direct terminal repeat	0.9776	High-confidence	100	0	High-quality	45;45;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698930_000001	2595698930	2595727912	whole	;;;	vOTU_00234366	29729	Linear	0.9776	High-confidence	100	0	Reference	47;47;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300012218_000002	3300012218	Ga0118552_100003	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02654645	29221	Direct terminal repeat	0.9775	High-confidence	100	0	High-quality	42;42;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698936_000001	2595698936	2595727918	whole	;;;	vOTU_01767215	29612	Linear	0.9774	High-confidence	100	0	Reference	47;47;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300026236_000001	3300026236	Ga0209132_1000167	whole	Environmental;Air;Outdoor Air;Unclassified	vOTU_04640131	29568	Linear	0.9773	High-confidence	100	0	High-quality	43;43;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300008407_000001	3300008407	Ga0115226_10001	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01920055	29579	Linear	0.9772	High-confidence	100	0	High-quality	43;43;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007913_000002	3300007913	Ga0114313_10002	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01649326	29637	Linear	0.9771	High-confidence	100	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007946_000001	3300007946	Ga0114289_10021	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01770500	29463	Linear	0.977	High-confidence	100	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300027916_000015	3300027916	Ga0272453_10000226	whole	Environmental;Terrestrial;Deep subsurface;Rock	vOTU_03826907	29523	Direct terminal repeat	0.9768	High-confidence	100	0	High-quality	45;45;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2706796392_000001	2706796392	2706858663	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_02665179	29594	Linear	0.9768	High-confidence	100	0	Reference	47;47;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus SKKY	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300006676_000001	3300006676	Ga0100046_100046	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01445503	29762	Linear	0.9766	High-confidence	100	0	High-quality	43;43;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007131_000001	3300007131	Ga0102586_10159	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_01628694	30353	Direct terminal repeat	0.9766	High-confidence	100	0	High-quality	47;47;0;43	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300008332_000001	3300008332	Ga0114895_10001	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01769466	29560	Linear	0.9765	High-confidence	100	0	High-quality	43;43;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300008384_000001	3300008384	Ga0114872_100046	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01426575	29122	Direct terminal repeat	0.9762	High-confidence	100	0	High-quality	44;44;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300012293_000004	3300012293	Ga0118359_10004	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02659065	29536	Linear	0.9762	High-confidence	100	0	High-quality	44;44;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300012551_000001	3300012551	Ga0118055_100008	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02665129	29339	Direct terminal repeat	0.9761	High-confidence	100	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007894_000002	3300007894	Ga0111016_10002	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01649326	29608	Linear	0.976	High-confidence	100	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698363_000001	2595698363	2595727345	whole	;;;	vOTU_08673415	29464	Linear	0.9759	High-confidence	100	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300012435_000001	3300012435	Ga0118601_100004	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02665129	29336	Direct terminal repeat	0.9749	High-confidence	100	0	High-quality	45;45;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2706796385_000001	2706796385	2706858656	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674477	29461	Linear	0.9726	High-confidence	100	0	Reference	44;44;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus kubed	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795527_000001	2706795527	2706857678	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673408	29454	Linear	0.9784	High-confidence	99.98	0	Reference	44;44;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus PHL037M02	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300012219_000004	3300012219	Ga0118598_100004	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02654651	29446	Linear	0.9787	High-confidence	99.95	0	High-quality	43;43;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698364_000001	2595698364	2595727346	whole	;;;	vOTU_08673408	29443	Linear	0.9785	High-confidence	99.95	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796393_000001	2706796393	2706858664	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674482	29440	Linear	0.9782	High-confidence	99.94	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus solid	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2974638591_000001	2974638591	2974638591	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673514	29442	Linear	0.9767	High-confidence	99.94	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795533_000001	2706795533	2706857684	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673514	29438	Linear	0.9753	High-confidence	99.93	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus PHL308M00	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795536_000001	2706795536	2706857687	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673517	29428	Linear	0.9795	High-confidence	99.9	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300012309_000005	3300012309	Ga0118179_100005	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02659112	29425	Linear	0.979	High-confidence	99.88	0	High-quality	40;40;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2974638337_000001	2974638337	2974638337	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673508	29422	Linear	0.9747	High-confidence	99.88	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795522_000001	2706795522	2706857673	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673508	29423	Linear	0.9745	High-confidence	99.88	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus PHL117M01	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795525_000001	2706795525	2706857676	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673510	29421	Linear	0.9793	High-confidence	99.87	0	Reference	44;44;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300012581_000002	3300012581	Ga0118309_100024	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02667433	29415	Linear	0.9766	High-confidence	99.85	0	High-quality	43;43;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2706795523_000001	2706795523	2706857674	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_01657888	29412	Linear	0.9788	High-confidence	99.84	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795333_000001	2706795333	2706857472	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673658	29407	Linear	0.9783	High-confidence	99.82	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795530_000001	2706795530	2706857681	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673512	29394	Linear	0.9758	High-confidence	99.78	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2595698368_000001	2595698368	2595727350	whole	;;;	vOTU_08673410	29377	Linear	0.979	High-confidence	99.72	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus PHL067M01	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2974638185_000001	2974638185	2974638185	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673410	29377	Linear	0.979	High-confidence	99.72	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2595698932_000001	2595698932	2595727914	whole	;;;	vOTU_08673401	29371	Linear	0.9782	High-confidence	99.7	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	;;;;;;		RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796390_000001	2706796390	2706858661	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674481	29347	Linear	0.9789	High-confidence	99.62	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus procrass1	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2595698937_000001	2595698937	2595727919	whole	;;;	vOTU_02319391	29348	Linear	0.978	High-confidence	99.62	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796129_000001	2706796129	2706858374	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674474	29347	Linear	0.9771	High-confidence	99.62	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	;;;;;;		RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2974666231_000001	2974666231	2974666231	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673611	29339	Linear	0.9787	High-confidence	99.59	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796391_000001	2706796391	2706858662	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673609	29338	Linear	0.9771	High-confidence	99.59	0	Reference	43;43;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795535_000001	2706795535	2706857686	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673516	29327	Linear	0.979	High-confidence	99.56	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796394_000001	2706796394	2706858665	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674483	29330	Linear	0.9774	High-confidence	99.56	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus stormborn	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796389_000001	2706796389	2706858660	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673611	29324	Linear	0.9791	High-confidence	99.54	0	Reference	44;44;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795538_000001	2706795538	2706857689	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673519	29323	Linear	0.9784	High-confidence	99.54	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300013244_000005	3300013244	Ga0118627_100025	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02808774	29292	Linear	0.9775	High-confidence	99.44	0	High-quality	45;45;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
